id_service,id_provider
กำจัดและป้องกันหนู,ช่างจากแพลตฟอร์มคิวช่าง
บริการตรวจสอบและซ่อมรั่วหลังคา_ทุกประเภทหลังคา,ช่างจากแพลตฟอร์มคิวช่าง
บริการติดตั้งมอเตอร์ประตูรั้วรีโมท_bsm_และ_life_acer,ช่างจากแพลตฟอร์มคิวช่าง
บริการจัดสวนแนวตั้ง,naichang_home_solution
บริการติดตั้งหลังคาโรงรถและกันสาด_by_scg_home_experience_vendor,scg_home_experience_vendor
บริการติดตั้งฝ้าระแนงไวนิล_scg_สำหรับภายนอก_ระบายอากาศ_กันแมลง,scg_home_experience_vendor
บริการทำความสะอาดและฆ่าเชื้อโรคที่นอน,ช่างจากแพลตฟอร์มคิวช่าง
บริการล้างบ่อดักไขมัน,ช่างจากแพลตฟอร์มคิวช่าง
บริการทาสีดาดฟ้ากันซึม,ช่างจากแพลตฟอร์มคิวช่าง
ออกแบบตกแต่งภายใน_บิ้วอิน_พร้อมติดตั้ง_ครบวงจร,doodeco
ติดตั้งสุขภัณฑ์อัตโนมัติ,ช่างจากแพลตฟอร์มคิวช่าง
บริการล้างแอร์แบบติดผนัง,ช่างจากแพลตฟอร์มคิวช่าง
บริการติดตั้งแผ่นพื้นห้องน้ำ_กันลื่น_ลดแรงกระแทก_ankara_plus,minima_house
บริการติดตั้งแผ่นพื้นกันลื่น_ลดแรงกระแทก_สำหรับภายใน_peel_&_place,scg_home_experience_vendor
กันสาดและม่านม้วนภายนอก_พร้อมติดตั้ง,ช่างจากแพลตฟอร์มคิวช่าง
ติดตั้งสวิทซ์ไฟฟ้าพร้อมอุปกรณ์,ช่างจากแพลตฟอร์มคิวช่าง
ติดตั้งปลั๊กไฟฟ้าพร้อมอุปกรณ์,ช่างจากแพลตฟอร์มคิวช่าง
บริการติดตั้งฝ้าชายคาระบายอากาศไวนิล_scg_สำหรับภายนอก_by_q-chang,ช่างจากแพลตฟอร์มคิวช่าง
บริการติดตั้งต่อเติมระเบียงพักผ่อน_homesmile,homesmile
บริการติดตั้งหลังคาเมทัลชีทบนหลังคาลอนคู่เดิม_(double_roof),ช่างจากแพลตฟอร์มคิวช่าง
บริการติดตั้งต่อเติมห้องอเนกประสงค์_homesmile,homesmile
บริการรื้อ_–_เปลี่ยนหลังคาเก่าทั้งผืน_(re-roof)​,scg_living_and_housing_solution
บริการทำความสะอาดและฆ่าเชื้อโรคผ้าม่าน,ช่างจากแพลตฟอร์มคิวช่าง
บริการเปลี่ยนแท็งค์น้ำ,ช่างจากแพลตฟอร์มคิวช่าง
บริการติดตั้งเครื่องปรับอากาศชนิดติดผนัง_(เฉพาะค่าแรง),ช่างจากแพลตฟอร์มคิวช่าง
บริการติดตั้งต่อเติมห้องผู้สูงวัย_homesmile,homesmile
ทำความสะอาดห้องน้ำ,ช่างจากแพลตฟอร์มคิวช่าง
บริการซ่อมแอร์,ช่างจากแพลตฟอร์มคิวช่าง
บริการติดตั้งระแนงตกแต่ง_อะลูมิเนียมลายไม้_และเหล็ก_aron_สำหรับภายนอก,scg_home_experience_vendor
บริการพ่นควันฆ่าเชื้อโรค_ด้วยระบบ_fogging,ช่างจากแพลตฟอร์มคิวช่าง
บริการติดตั้งผ้าม่าน_มู่ลี่_ฉากกั้นห้อง_และวอลเปเปอร์_icurtain,scg_home_experience_vendor
บริการติดตั้งไม้พื้น_spc_unix_สำหรับภายใน_by_q-chang,ช่างจากแพลตฟอร์มคิวช่าง
บริการติดตั้งกล้องวงจรปิด,scg_home_experience_vendor
ล้างเครื่องซักอบผ้าฝาหน้า,ช่างจากแพลตฟอร์มคิวช่าง
บริการติดตั้งวอลเปเปอร์_และ_interior_film_meclass,meclass
บริการติดตั้งปรับปรุงห้องน้ำ,scg_home_experience_vendor
บริการติดตั้งรางน้ำฝนไวนิล_scg,scg_home_experience_vendor
บริการทำความสะอาดคอนโด_(general_cleaning),ช่างจากแพลตฟอร์มคิวช่าง
บริการติดตั้งฉนวนกันความร้อน_scg_รุ่น_staycool,ช่างจากแพลตฟอร์มคิวช่าง
บริการติดตั้งพื้นยางอเนกประสงค์_สำหรับภายนอก_soft_skid,magix
ติดตั้งระบบเครื่องเติมอากาศ_แรงดันบวก_พร้อมกำจัดกลิ่น_airwave+,airwave+
บริการปิดโพรงรอบบ้านด้วยแผ่น_smartboard,ช่างจากแพลตฟอร์มคิวช่าง
พื้นภายใน_ไม้ลามิเนต_unix_พร้อมติดตั้ง,scg_distribution
บริการติดตั้งเฉพาะโครงหลังคาหรือกระเบื้องหลังคาบ้านใหม่,scg
